number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
11,020_2_L,30,96,39,29.0,95.0,40.0,1.7320508075688772,020_2_L,29,96,37,30.0,95.0,36.0,1.7320508075688772,020_2_L,31,97,28,31.0,96.0,30.0,2.23606797749979,020_2_L,30,97,36,31.0,95.0,36.0,2.23606797749979,020_2_L,32,96,45,32.0,94.0,43.0,2.8284271247461903,020_2_L,38,103,51,36.0,102.0,50.0,2.449489742783178
12,078_1_L,29,77,40,30.0,76.0,40.0,1.4142135623730951,078_1_L,31,77,38,31.0,76.0,38.0,1.0,078_1_L,33,76,30,32.0,75.0,30.0,1.4142135623730951,078_1_L,32,77,38,32.0,77.0,37.0,1.0,078_1_L,32,77,44,33.0,77.0,44.0,1.0,078_1_L,38,85,48,36.0,85.0,50.0,2.8284271247461903
13,078_1_R,28,61,41,29.0,62.0,38.0,3.3166247903554,078_1_R,29,60,38,29.0,62.0,35.0,3.605551275463989,078_1_R,30,61,32,31.0,61.0,30.0,2.23606797749979,078_1_R,30,61,39,31.0,61.0,38.0,1.4142135623730951,078_1_R,30,61,43,31.0,61.0,44.0,1.4142135623730951,078_1_R,36,69,49,33.0,67.0,50.0,3.7416573867739413
14,084_1_R,27,41,43,28.0,40.0,39.0,4.242640687119285,084_1_R,28,41,41,29.0,40.0,37.0,4.242640687119285,084_1_R,30,42,29,30.0,41.0,30.0,1.4142135623730951,084_1_R,32,42,37,30.0,40.0,37.0,2.8284271247461903,084_1_R,31,41,43,32.0,41.0,45.0,2.23606797749979,084_1_R,33,48,49,35.0,47.0,50.0,2.449489742783178
15,028_1_R,29,73,40,28.0,72.0,42.0,2.449489742783178,028_1_R,27,73,36,30.0,72.0,41.0,5.916079783099616,028_1_R,28,74,30,31.0,74.0,29.0,3.1622776601683795,028_1_R,30,73,41,31.0,73.0,37.0,4.123105625617661,028_1_R,29,73,51,32.0,71.0,47.0,5.385164807134504,028_1_R,34,78,54,36.0,79.0,53.0,2.449489742783178
16,028_2_R,28,66,36,27.0,66.0,38.0,2.23606797749979,028_2_R,27,66,35,29.0,66.0,37.0,2.8284271247461903,028_2_R,29,66,27,29.0,64.0,30.0,3.605551275463989,028_2_R,30,66,38,29.0,65.0,35.0,3.3166247903554,028_2_R,28,65,45,31.0,64.0,42.0,4.358898943540674,028_2_R,34,70,50,36.0,71.0,48.0,3.0
17,035_1_L,29,73,39,30.0,73.0,38.0,1.4142135623730951,035_1_L,30,72,38,31.0,73.0,36.0,2.449489742783178,035_1_L,32,74,30,31.0,73.0,30.0,1.4142135623730951,035_1_L,33,74,37,32.0,73.0,38.0,1.7320508075688772,035_1_L,32,73,41,32.0,74.0,45.0,4.123105625617661,035_1_L,37,83,48,34.0,79.0,49.0,5.0990195135927845
18,035_2_L,28,63,38,29.0,63.0,38.0,1.0,035_2_L,29,63,39,31.0,63.0,37.0,2.8284271247461903,035_2_L,31,63,32,31.0,62.0,30.0,2.23606797749979,035_2_L,33,63,38,32.0,63.0,39.0,1.4142135623730951,035_2_L,33,64,41,31.0,65.0,48.0,7.3484692283495345,035_2_L,37,72,49,35.0,70.0,50.0,3.0
19,008_1_R,29,57,36,29.0,58.0,42.0,6.082762530298219,008_1_R,31,55,30,31.0,58.0,39.0,9.486832980505138,008_1_R,32,58,29,31.0,56.0,30.0,2.449489742783178,008_1_R,31,57,37,30.0,57.0,38.0,1.4142135623730951,008_1_R,31,56,46,31.0,56.0,45.0,1.0,008_1_R,35,64,52,34.0,64.0,52.0,1.0
20,008_2_L,32,91,33,29.0,90.0,35.0,3.7416573867739413,008_2_L,31,92,30,30.0,91.0,32.0,2.449489742783178,008_2_L,33,93,28,32.0,91.0,30.0,3.0,008_2_L,32,93,37,32.0,90.0,36.0,3.1622776601683795,008_2_L,32,90,45,32.0,90.0,42.0,3.0,008_2_L,36,97,51,36.0,96.0,51.0,1.0
21,036_2_R,30,69,41,28.0,71.0,42.0,3.0,036_2_R,29,72,37,30.0,71.0,38.0,1.7320508075688772,036_2_R,30,76,27,31.0,73.0,29.0,3.7416573867739413,036_2_R,30,71,37,31.0,70.0,38.0,1.7320508075688772,036_2_R,29,70,46,31.0,68.0,46.0,2.8284271247461903,036_2_R,34,77,53,34.0,75.0,53.0,2.0
22,ear1-P1051_2,25,69,40,25.0,70.0,43.0,3.1622776601683795,ear1-P1051_2,28,67,39,27.0,70.0,42.0,4.3588976444910426,ear1-P1051_2,30,66,28,29.0,68.0,28.0,2.236065445184813,ear1-P1051_2,29,68,37,29.0,68.0,37.0,0.0,ear1-P1051_2,29,68,45,30.0,69.0,47.0,2.4494874311066703,ear1-P1051_2,31,78,52,36.0,80.0,51.0,5.4771997296738135
