number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5,Filename 6,Agent 6 pos x,Agent 6 pos y,Agent 6 pos z,Landmark 6 pos x,Landmark 6 pos y,Landmark 6 pos z,Distance 6,Filename 7,Agent 7 pos x,Agent 7 pos y,Agent 7 pos z,Landmark 7 pos x,Landmark 7 pos y,Landmark 7 pos z,Distance 7,Filename 8,Agent 8 pos x,Agent 8 pos y,Agent 8 pos z,Landmark 8 pos x,Landmark 8 pos y,Landmark 8 pos z,Distance 8,Filename 9,Agent 9 pos x,Agent 9 pos y,Agent 9 pos z,Landmark 9 pos x,Landmark 9 pos y,Landmark 9 pos z,Distance 9,Filename 10,Agent 10 pos x,Agent 10 pos y,Agent 10 pos z,Landmark 10 pos x,Landmark 10 pos y,Landmark 10 pos z,Distance 10,Filename 11,Agent 11 pos x,Agent 11 pos y,Agent 11 pos z,Landmark 11 pos x,Landmark 11 pos y,Landmark 11 pos z,Distance 11
11,020_2_L,29,95,39,29.0,95.0,40.0,1.0,020_2_L,28,95,39,29.0,95.0,40.0,1.4142135623730951,020_2_L,30,94,38,30.0,95.0,36.0,2.23606797749979,020_2_L,30,95,39,30.0,95.0,36.0,3.0,020_2_L,32,96,30,31.0,96.0,30.0,1.0,020_2_L,31,95,31,31.0,96.0,30.0,1.4142135623730951,020_2_L,31,94,39,31.0,95.0,36.0,3.1622776601683795,020_2_L,32,95,38,31.0,95.0,36.0,2.23606797749979,020_2_L,32,95,44,32.0,94.0,43.0,1.4142135623730951,020_2_L,31,95,44,32.0,94.0,43.0,1.7320508075688772,020_2_L,34,101,49,36.0,102.0,50.0,2.449489742783178,020_2_L,34,102,49,36.0,102.0,50.0,2.23606797749979
12,078_1_L,29,77,39,30.0,76.0,40.0,1.7320508075688772,078_1_L,30,77,38,30.0,76.0,40.0,2.23606797749979,078_1_L,31,77,37,31.0,76.0,38.0,1.4142135623730951,078_1_L,32,77,37,31.0,76.0,38.0,1.7320508075688772,078_1_L,33,77,30,32.0,75.0,30.0,2.23606797749979,078_1_L,32,77,30,32.0,75.0,30.0,2.0,078_1_L,32,76,38,32.0,77.0,37.0,1.4142135623730951,078_1_L,32,77,37,32.0,77.0,37.0,0.0,078_1_L,32,77,42,33.0,77.0,44.0,2.23606797749979,078_1_L,33,77,41,33.0,77.0,44.0,3.0,078_1_L,35,84,49,36.0,85.0,50.0,1.7320508075688772,078_1_L,35,84,49,36.0,85.0,50.0,1.7320508075688772
13,078_1_R,28,61,39,29.0,62.0,38.0,1.7320508075688772,078_1_R,29,62,39,29.0,62.0,38.0,1.0,078_1_R,30,62,39,29.0,62.0,35.0,4.123105625617661,078_1_R,30,62,39,29.0,62.0,35.0,4.123105625617661,078_1_R,31,62,32,31.0,61.0,30.0,2.23606797749979,078_1_R,31,61,32,31.0,61.0,30.0,2.0,078_1_R,31,61,38,31.0,61.0,38.0,0.0,078_1_R,31,61,39,31.0,61.0,38.0,1.0,078_1_R,31,60,42,31.0,61.0,44.0,2.23606797749979,078_1_R,31,61,41,31.0,61.0,44.0,3.0,078_1_R,33,68,48,33.0,67.0,50.0,2.23606797749979,078_1_R,34,68,48,33.0,67.0,50.0,2.449489742783178
14,084_1_R,29,41,38,28.0,40.0,39.0,1.7320508075688772,084_1_R,29,41,38,28.0,40.0,39.0,1.7320508075688772,084_1_R,30,41,37,29.0,40.0,37.0,1.4142135623730951,084_1_R,29,41,37,29.0,40.0,37.0,1.0,084_1_R,30,40,29,30.0,41.0,30.0,1.4142135623730951,084_1_R,30,41,30,30.0,41.0,30.0,0.0,084_1_R,30,41,37,30.0,40.0,37.0,1.0,084_1_R,30,41,36,30.0,40.0,37.0,1.4142135623730951,084_1_R,31,40,43,32.0,41.0,45.0,2.449489742783178,084_1_R,32,41,44,32.0,41.0,45.0,1.0,084_1_R,35,47,48,35.0,47.0,50.0,2.0,084_1_R,36,48,49,35.0,47.0,50.0,1.7320508075688772
15,028_1_R,28,74,41,28.0,72.0,42.0,2.23606797749979,028_1_R,29,74,42,28.0,72.0,42.0,2.23606797749979,028_1_R,29,74,40,30.0,72.0,41.0,2.449489742783178,028_1_R,30,74,40,30.0,72.0,41.0,2.23606797749979,028_1_R,31,75,33,31.0,74.0,29.0,4.123105625617661,028_1_R,30,74,33,31.0,74.0,29.0,4.123105625617661,028_1_R,31,73,40,31.0,73.0,37.0,3.0,028_1_R,30,73,38,31.0,73.0,37.0,1.4142135623730951,028_1_R,30,73,47,32.0,71.0,47.0,2.8284271247461903,028_1_R,31,73,46,32.0,71.0,47.0,2.449489742783178,028_1_R,35,79,54,36.0,79.0,53.0,1.4142135623730951,028_1_R,34,80,54,36.0,79.0,53.0,2.449489742783178
16,028_2_R,28,66,37,27.0,66.0,38.0,1.4142135623730951,028_2_R,27,66,37,27.0,66.0,38.0,1.0,028_2_R,27,65,35,29.0,66.0,37.0,3.0,028_2_R,29,66,35,29.0,66.0,37.0,2.0,028_2_R,29,66,29,29.0,64.0,30.0,2.23606797749979,028_2_R,29,67,30,29.0,64.0,30.0,3.0,028_2_R,28,65,35,29.0,65.0,35.0,1.0,028_2_R,29,65,34,29.0,65.0,35.0,1.0,028_2_R,30,65,43,31.0,64.0,42.0,1.7320508075688772,028_2_R,29,66,42,31.0,64.0,42.0,2.8284271247461903,028_2_R,35,71,49,36.0,71.0,48.0,1.4142135623730951,028_2_R,33,72,50,36.0,71.0,48.0,3.7416573867739413
17,035_1_L,28,74,38,30.0,73.0,38.0,2.23606797749979,035_1_L,29,74,38,30.0,73.0,38.0,1.4142135623730951,035_1_L,29,74,38,31.0,73.0,36.0,3.0,035_1_L,30,74,38,31.0,73.0,36.0,2.449489742783178,035_1_L,32,73,30,31.0,73.0,30.0,1.0,035_1_L,32,74,30,31.0,73.0,30.0,1.4142135623730951,035_1_L,32,74,38,32.0,73.0,38.0,1.0,035_1_L,31,73,38,32.0,73.0,38.0,1.0,035_1_L,32,73,44,32.0,74.0,45.0,1.4142135623730951,035_1_L,31,74,43,32.0,74.0,45.0,2.23606797749979,035_1_L,35,82,49,34.0,79.0,49.0,3.1622776601683795,035_1_L,36,82,49,34.0,79.0,49.0,3.605551275463989
18,035_2_L,28,64,40,29.0,63.0,38.0,2.449489742783178,035_2_L,30,64,40,29.0,63.0,38.0,2.449489742783178,035_2_L,30,64,39,31.0,63.0,37.0,2.449489742783178,035_2_L,31,63,39,31.0,63.0,37.0,2.0,035_2_L,32,63,31,31.0,62.0,30.0,1.7320508075688772,035_2_L,32,62,32,31.0,62.0,30.0,2.23606797749979,035_2_L,31,64,39,32.0,63.0,39.0,1.4142135623730951,035_2_L,31,63,39,32.0,63.0,39.0,1.0,035_2_L,32,63,44,31.0,65.0,48.0,4.58257569495584,035_2_L,31,64,44,31.0,65.0,48.0,4.123105625617661,035_2_L,36,72,50,35.0,70.0,50.0,2.23606797749979,035_2_L,35,73,49,35.0,70.0,50.0,3.1622776601683795
19,008_1_R,30,58,39,29.0,58.0,42.0,3.1622776601683795,008_1_R,30,58,39,29.0,58.0,42.0,3.1622776601683795,008_1_R,30,57,36,31.0,58.0,39.0,3.3166247903554,008_1_R,30,58,38,31.0,58.0,39.0,1.4142135623730951,008_1_R,31,58,26,31.0,56.0,30.0,4.47213595499958,008_1_R,31,58,27,31.0,56.0,30.0,3.605551275463989,008_1_R,31,58,36,30.0,57.0,38.0,2.449489742783178,008_1_R,31,58,35,30.0,57.0,38.0,3.3166247903554,008_1_R,32,58,45,31.0,56.0,45.0,2.23606797749979,008_1_R,32,58,45,31.0,56.0,45.0,2.23606797749979,008_1_R,34,63,51,34.0,64.0,52.0,1.4142135623730951,008_1_R,34,65,52,34.0,64.0,52.0,1.0
20,008_2_L,31,92,37,29.0,90.0,35.0,3.4641016151377544,008_2_L,30,92,37,29.0,90.0,35.0,3.0,008_2_L,31,91,35,30.0,91.0,32.0,3.1622776601683795,008_2_L,33,92,35,30.0,91.0,32.0,4.358898943540674,008_2_L,33,91,27,32.0,91.0,30.0,3.1622776601683795,008_2_L,32,92,28,32.0,91.0,30.0,2.23606797749979,008_2_L,32,91,35,32.0,90.0,36.0,1.4142135623730951,008_2_L,32,91,34,32.0,90.0,36.0,2.23606797749979,008_2_L,32,91,45,32.0,90.0,42.0,3.1622776601683795,008_2_L,33,91,45,32.0,90.0,42.0,3.3166247903554,008_2_L,38,98,50,36.0,96.0,51.0,3.0,008_2_L,37,98,50,36.0,96.0,51.0,2.449489742783178
21,036_2_R,27,71,38,28.0,71.0,42.0,4.123105625617661,036_2_R,28,72,38,28.0,71.0,42.0,4.123105625617661,036_2_R,29,71,37,30.0,71.0,38.0,1.4142135623730951,036_2_R,29,72,37,30.0,71.0,38.0,1.7320508075688772,036_2_R,31,73,30,31.0,73.0,29.0,1.0,036_2_R,31,72,30,31.0,73.0,29.0,1.4142135623730951,036_2_R,30,72,37,31.0,70.0,38.0,2.449489742783178,036_2_R,30,72,36,31.0,70.0,38.0,3.0,036_2_R,30,71,47,31.0,68.0,46.0,3.3166247903554,036_2_R,29,71,47,31.0,68.0,46.0,3.7416573867739413,036_2_R,34,77,54,34.0,75.0,53.0,2.23606797749979,036_2_R,32,77,54,34.0,75.0,53.0,3.0
22,ear1-P1051_2,26,69,36,25.0,70.0,43.0,7.141427635644679,ear1-P1051_2,26,70,38,25.0,70.0,43.0,5.099018403099714,ear1-P1051_2,26,68,33,27.0,70.0,42.0,9.273617884900668,ear1-P1051_2,29,69,35,27.0,70.0,42.0,7.3484661461149985,ear1-P1051_2,30,64,26,29.0,68.0,28.0,4.582574459313188,ear1-P1051_2,29,64,28,29.0,68.0,28.0,4.0,ear1-P1051_2,29,69,38,29.0,68.0,37.0,1.4142135623730951,ear1-P1051_2,30,68,37,29.0,68.0,37.0,0.9999943375587463,ear1-P1051_2,28,70,47,30.0,69.0,47.0,2.236057848222676,ear1-P1051_2,29,70,47,30.0,69.0,47.0,1.4142095584281547,ear1-P1051_2,40,81,52,36.0,80.0,51.0,4.242619332722757,ear1-P1051_2,39,82,51,36.0,80.0,51.0,3.605537141168567
